City,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
JALPAIGURI,1908,3.937,13.776,9.175,48.065,234.346,379.509,433.645,406.2,260.557,45.203,2.841,0.78
JALPAIGURI,1909,1.219,2.613,0.199,141.892,192.005,653.573,603.984,367.399,326.845,102.537,0.94,2.285
JALPAIGURI,1910,3.183,5.319,35.585,117.191,170.382,516.008,675.263,392.089,214.604,126.379,6.597,0.177
JALPAIGURI,1911,17.411,1.403,23.539,59.051,220.154,607.474,503.419,460.441,464.899,168.108,14.517,0.177
JALPAIGURI,1912,0.859,19.314,20.989,153.083,219.946,542.579,619.637,494.223,154.318,55.627,12.316,1.305
JALPAIGURI,1913,0.318,30.88,40.761,48.578,262.411,759.582,432.233,439.215,350.765,144.141,0.681,33.343
JALPAIGURI,1914,0.084,22.527,15.677,93.02,246.149,314.562,570.267,520.436,293.42,48.665,4.999,0.904
JALPAIGURI,1915,0.51,32.504,31.978,92.143,363.674,648.434,612.704,457.109,298.296,56.27,5.053,0.247
JALPAIGURI,1916,0.685,7.775,14.334,70.473,121.045,351.089,501.353,436.746,383.213,307.247,5.564,0.144
JALPAIGURI,1917,0.492,18.377,11.804,73.711,216.82,508.94,877.337,389.693,577.948,287.804,9.469,0.177
JALPAIGURI,1918,0.212,6.931,16.406,83.994,270.226,521.752,706.793,708.745,392.21,69.557,0.919,0.177
JALPAIGURI,1919,10.137,2.789,7.719,55.824,233.491,364.305,570.063,468.835,426.489,120.284,5.536,0.144
JALPAIGURI,1920,6.581,17.582,47.363,67.898,174.673,376.252,467.91,352.873,509.149,70.867,0.263,0.144
JALPAIGURI,1921,19.404,7.252,22.407,115.535,182.617,450.879,740.624,539.081,299.997,82.522,3.478,0.662
JALPAIGURI,1922,5.892,5.366,1.757,23.145,129.498,741.719,686.294,531.857,403.009,63.341,1.015,11.694
JALPAIGURI,1923,0.304,29.4,3.058,49.563,166.714,541.585,361.237,462.36,224.344,114.331,2.988,5.321
JALPAIGURI,1924,2.247,7.367,3.384,68.742,205.644,455.389,630.805,503.884,452.084,80.985,38.263,0.144
JALPAIGURI,1925,3.344,1.458,11.142,161.616,330.562,270.98,640.322,330.124,396.342,72.791,2.048,0.247
JALPAIGURI,1926,9.148,1.315,72.061,61.921,318.23,212.92,718.711,388.176,271.915,108.511,0.263,6.031
JALPAIGURI,1927,18.863,32.295,45.343,47.444,173.83,364.743,516.005,623.617,292.32,73.67,22.304,0.247
JALPAIGURI,1928,9.698,7.39,5.065,54.16,324.521,378.95,523.261,460.561,261.903,157.4,4.736,1.413
JALPAIGURI,1929,13.704,0.42,22.141,80.369,307.081,598.522,514.028,465.419,174.894,297.355,1.93,5.641
JALPAIGURI,1930,5.74,12.259,20.019,80.752,165.515,452.962,437.144,524.411,342.842,92.342,20.905,7.787
JALPAIGURI,1931,0.678,9.872,27.867,45.743,219.26,309.115,1026.882,463.211,527.127,94.761,2.456,7.032
JALPAIGURI,1932,0.304,10.617,13.634,78.318,230.744,493.131,347.858,344.236,385.071,84.92,31.888,15.711
JALPAIGURI,1933,11.465,10.939,3.917,97.325,243.634,267.781,841.915,550.937,231.652,202.301,0.563,0.177
JALPAIGURI,1934,11.957,29.314,2.031,89.661,294.731,699.06,718.573,413.38,364.432,173.109,10.714,0.314
